location_key,cell_lat,cell_lon,n_rows,n_districts,first_year,last_year
+00.6250_+034.9750,0.625,34.975,37,3,2016,2020
+00.6250_+035.0250,0.625,35.025,9,1,2018,2018
+00.6250_+035.0750,0.625,35.075,23,1,2017,2018
+00.6250_+035.1250,0.625,35.125,6,1,2020,2020
+00.6250_+035.1750,0.625,35.175,2,1,2020,2020
+00.6250_+035.2250,0.625,35.225,6,2,2018,2019
+00.6250_+035.2750,0.625,35.275,4,1,2019,2019
+00.6250_+035.3750,0.625,35.375,2,1,2020,2020
+00.6250_+035.4750,0.625,35.475,8,2,2020,2020
+00.6750_+034.2750,0.675,34.275,6,1,2019,2020
+00.6750_+034.3250,0.675,34.325,17,1,2019,2020
+00.6750_+034.3750,0.675,34.375,49,2,2016,2020
+00.6750_+034.4250,0.675,34.425,56,3,2016,2020
+00.6750_+034.4750,0.675,34.475,62,2,2016,2020
+00.6750_+034.5250,0.675,34.525,145,2,2016,2020
+00.6750_+034.5750,0.675,34.575,68,2,2016,2020
+00.6750_+034.6250,0.675,34.625,23,1,2016,2020
+00.6750_+034.6750,0.675,34.675,56,3,2016,2020
+00.6750_+034.7250,0.675,34.725,86,2,2016,2020
+00.6750_+034.7750,0.675,34.775,87,2,2016,2020
+00.6750_+034.8250,0.675,34.825,33,2,2016,2020
+00.6750_+034.8750,0.675,34.875,29,3,2016,2020
+00.6750_+034.9250,0.675,34.925,6,1,2017,2020
+00.6750_+034.9750,0.675,34.975,35,2,2016,2020
+00.6750_+035.0750,0.675,35.075,8,1,2018,2020
+00.6750_+035.1250,0.675,35.125,9,1,2018,2020
+00.6750_+035.1750,0.675,35.175,14,1,2018,2018
+00.6750_+035.2250,0.675,35.225,6,1,2018,2018
+00.6750_+035.4750,0.675,35.475,9,2,2020,2020
+00.7250_+034.3250,0.725,34.325,28,2,2016,2020
+00.7250_+034.3750,0.725,34.375,35,2,2016,2020
+00.7250_+034.4250,0.725,34.425,64,2,2016,2020
+00.7250_+034.4750,0.725,34.475,65,1,2016,2020
+00.7250_+034.5250,0.725,34.525,44,1,2016,2020
+00.7250_+034.5750,0.725,34.575,69,3,2017,2020
+00.7250_+034.6250,0.725,34.625,49,2,2016,2020
+00.7250_+034.6750,0.725,34.675,66,3,2016,2020
+00.7250_+034.7250,0.725,34.725,74,2,2016,2020
+00.7250_+034.7750,0.725,34.775,65,3,2016,2020
+00.7250_+034.8250,0.725,34.825,46,3,2016,2020
+00.7250_+034.8750,0.725,34.875,80,2,2016,2020
+00.7250_+034.9250,0.725,34.925,69,2,2016,2020
+00.7250_+034.9750,0.725,34.975,92,1,2016,2020
+00.7250_+035.0250,0.725,35.025,7,1,2016,2020
+00.7250_+035.0750,0.725,35.075,51,2,2017,2020
+00.7250_+035.1250,0.725,35.125,55,1,2016,2020
+00.7250_+035.1750,0.725,35.175,13,1,2018,2020
+00.7250_+035.2250,0.725,35.225,3,1,2020,2020
+00.7250_+035.3750,0.725,35.375,10,1,2020,2020
+00.7250_+035.4250,0.725,35.425,2,1,2020,2020
+00.7750_+034.3250,0.775,34.325,11,2,2016,2020
+00.7750_+034.3750,0.775,34.375,50,2,2016,2020
+00.7750_+034.4250,0.775,34.425,56,2,2016,2020
+00.7750_+034.4750,0.775,34.475,115,1,2016,2020
+00.7750_+034.5250,0.775,34.525,58,2,2016,2020
+00.7750_+034.5750,0.775,34.575,81,3,2016,2020
+00.7750_+034.6250,0.775,34.625,52,1,2016,2020
+00.7750_+034.6750,0.775,34.675,48,3,2016,2020
+00.7750_+034.7250,0.775,34.725,69,3,2016,2020
